timestamp,agent_id,method,state,pos_x,pos_y,pos_z,current_node,next_node,route
17:36:08.441,9,random,searching,0.0,0.0,1.5,0,11,random
17:36:08.875,9,random,searching,0.0,0.0,21.0,11,1,random
17:36:09.589,9,random,searching,20.57,0.0,-0.34,1,0,random
17:36:10.066,9,random,searching,-0.42,0.0,0.01,0,1,random
17:36:10.626,9,random,searching,20.77,0.0,0.13,1,13,random
17:36:13.992,9,random,searching,39.22,0.0,18.2,13,25,random
17:36:15.216,9,random,searching,60.84,0.0,39.71,25,14,random
17:36:15.862,9,random,searching,62.32,0.0,21.54,14,15,random
17:36:16.267,9,random,searching,80.26,0.0,19.98,15,4,random
17:36:16.710,9,random,searching,80.01,0.0,0.48,4,5,random
17:36:17.153,9,random,searching,99.5,0.0,0.01,5,4,random
17:36:17.594,9,random,searching,80.0,0.0,0.0,4,15,random
17:36:18.036,9,random,searching,80.0,0.0,19.5,15,16,random
17:36:18.510,9,random,searching,100.99,0.0,20.02,16,6,random
17:36:19.153,9,random,searching,120.61,0.0,-0.65,6,5,random
17:36:19.629,9,random,searching,99.62,0.0,0.01,5,6,random
17:36:20.106,9,random,searching,120.62,0.0,-0.0,6,16,random
17:36:20.751,9,random,searching,100.16,0.0,19.84,16,4,random
17:36:21.397,9,random,searching,79.85,0.0,-0.15,4,3,random
17:36:21.838,9,random,searching,60.35,0.0,-0.0,3,13,random
17:36:23.774,9,random,searching,40.01,0.0,20.01,13,2,random
17:36:24.727,9,random,searching,39.93,0.0,0.24,2,1,random
17:36:25.270,9,random,searching,19.89,0.0,-1.29,1,0,random
17:36:25.746,9,random,searching,0.13,0.0,-0.02,0,1,random
17:36:26.189,9,random,searching,19.63,0.0,-0.0,1,13,random
17:36:27.513,9,random,searching,40.14,0.0,19.79,13,0,random
17:36:28.534,9,random,searching,-0.22,0.0,-0.11,0,11,random
17:36:29.008,9,random,searching,0.01,0.0,20.89,11,23,random
17:36:29.654,9,random,searching,20.61,0.0,40.58,23,12,random
17:36:30.130,9,random,searching,19.99,0.0,19.59,12,11,random
17:36:30.572,9,random,searching,0.49,0.0,19.99,11,23,random
17:36:31.217,9,random,searching,20.39,0.0,40.4,23,33,random
17:36:31.864,9,random,searching,-0.16,0.0,60.15,33,44,random
17:36:32.307,9,random,searching,-0.0,0.0,79.65,44,45,random
17:36:32.782,9,random,searching,20.99,0.0,80.02,45,34,random
17:36:33.259,9,random,searching,19.95,0.0,59.04,34,45,random
17:36:33.736,9,random,searching,20.0,0.0,80.04,45,57,random
17:36:34.378,9,random,searching,40.17,0.0,100.17,57,45,random
17:36:35.024,9,random,searching,20.02,0.0,80.02,45,46,random
