timestamp,agent_id,method,state,pos_x,pos_y,pos_z,current_node,next_node,route
18:29:16.599,0,random,searching,-0.67,0.0,0.83,45149,45450,random
18:29:16.668,0,random,lifting,-0.67,0.0,0.83,45450,45449,random
18:29:16.703,0,random,lifting,-0.67,0.0,0.83,45449,45450,random
18:29:16.738,0,random,lifting,-0.67,0.0,0.83,45450,45749,random
18:29:17.240,0,random,delivering,-0.67,0.0,0.83,45450,45749,random
18:29:17.357,0,random,dropping,-0.67,0.0,0.83,45450,45749,random
18:29:17.973,0,random,searching,-0.67,0.0,0.83,45450,45149,random
18:29:18.018,0,random,searching,-0.67,0.0,-0.67,45149,45450,random
18:29:18.087,0,random,searching,0.67,0.0,2.01,45450,45750,random
18:29:18.123,0,random,searching,0.67,0.0,3.51,45750,46050,random
18:29:18.157,0,random,searching,0.67,0.0,5.01,46050,46350,random
18:29:18.192,0,random,searching,0.67,0.0,6.51,46350,46351,random
18:29:18.226,0,random,searching,2.08,0.0,5.99,46351,46650,random
18:29:18.354,0,random,searching,1.0,0.0,7.04,46650,46950,random
18:29:18.389,0,random,searching,0.71,0.0,8.51,46950,46650,random
18:29:18.423,0,random,searching,0.66,0.0,7.01,46650,46949,random
18:29:18.492,0,random,searching,-1.2,0.0,9.37,46949,47250,random
18:29:18.525,0,random,searching,0.21,0.0,9.87,47250,46951,random
18:29:18.594,0,random,searching,2.72,0.0,8.23,46951,47250,random
18:29:18.732,0,random,searching,0.47,0.0,10.21,47250,46950,random
18:29:18.766,0,random,searching,0.67,0.0,8.72,46950,46651,random
18:29:18.800,0,random,searching,1.72,0.0,7.65,46651,46352,random
18:29:18.868,0,random,searching,3.84,0.0,5.53,46352,46653,random
18:29:18.937,0,random,searching,5.09,0.0,8.25,46653,46954,random
18:29:18.971,0,random,searching,6.45,0.0,8.9,46954,46654,random
18:29:19.005,0,random,searching,6.05,0.0,7.45,46654,46353,random
18:29:19.120,0,random,searching,5.01,0.0,6.37,46353,46653,random
18:29:19.154,0,random,searching,4.54,0.0,7.79,46653,46352,random
18:29:19.222,0,random,searching,2.86,0.0,5.3,46352,46652,random
18:29:19.290,0,random,searching,3.55,0.0,8.22,46652,46353,random
18:29:19.358,0,random,searching,4.92,0.0,5.56,46353,46054,random
18:29:19.392,0,random,searching,6.1,0.0,4.62,46054,46053,random
18:29:19.426,0,random,searching,4.6,0.0,4.69,46053,46353,random
18:29:19.460,0,random,searching,4.69,0.0,6.18,46353,46654,random
18:29:19.494,0,random,searching,5.82,0.0,7.18,46654,46955,random
18:29:19.563,0,random,searching,7.95,0.0,9.28,46955,46656,random
18:29:19.710,0,random,searching,9.03,0.0,6.48,46656,46657,random
18:29:19.744,0,random,searching,10.16,0.0,7.47,46657,46956,random
18:29:19.778,0,random,searching,9.01,0.0,8.43,46956,47255,random
18:29:19.847,0,random,searching,6.86,0.0,10.52,47255,46954,random
18:29:19.914,0,random,searching,5.61,0.0,7.79,46954,47255,random
18:29:20.042,0,random,searching,7.45,0.0,10.16,47255,47556,random
18:29:20.077,0,random,searching,8.53,0.0,11.2,47556,0,random
18:29:20.260,0,random,searching,10.18,0.0,9.31,47257,46956,random
18:29:20.294,0,random,searching,8.79,0.0,8.73,46956,46655,random
18:29:20.328,0,random,searching,7.71,0.0,7.7,46655,46656,random
18:29:20.362,0,random,searching,9.13,0.0,7.21,46656,46357,random
18:29:20.490,0,random,searching,10.04,0.0,6.02,46357,46356,random
18:29:20.523,0,random,searching,8.54,0.0,6.02,46356,46655,random
18:29:20.557,0,random,searching,7.54,0.0,7.15,46655,0,random
18:29:20.740,0,random,searching,9.5,0.0,8.85,46956,46657,random
18:29:20.774,0,random,searching,10.0,0.0,7.44,46657,46957,random
18:29:20.808,0,random,searching,10.04,0.0,8.94,46957,46956,random
18:29:20.933,0,random,searching,8.56,0.0,8.67,46956,46955,random
18:29:20.967,0,random,searching,7.06,0.0,8.7,46955,46656,random
18:29:21.035,0,random,searching,9.38,0.0,6.79,46656,46355,random
18:29:21.104,0,random,searching,6.58,0.0,5.72,46355,46356,random
18:29:21.254,0,random,searching,9.55,0.0,6.14,46356,46655,random
18:29:21.322,0,random,searching,6.93,0.0,7.6,46655,46356,random
18:29:21.462,0,random,searching,9.17,0.0,5.6,46356,46055,random
18:29:21.532,0,random,searching,6.49,0.0,4.24,46055,45754,random
18:29:21.566,0,random,searching,5.79,0.0,2.91,45754,45453,random
18:29:21.600,0,random,searching,4.63,0.0,1.97,45453,45753,random
18:29:21.635,0,random,searching,4.69,0.0,3.46,45753,46052,random
18:29:21.668,0,random,searching,3.58,0.0,4.47,46052,46352,random
18:29:21.706,0,random,searching,3.35,0.0,5.96,46352,46653,random
18:29:21.740,0,random,searching,4.39,0.0,7.04,46653,46953,random
18:29:21.775,0,random,searching,4.65,0.0,8.52,46953,47254,random
18:29:21.843,0,random,searching,6.66,0.0,10.75,47254,47554,random
18:29:21.877,0,random,searching,5.59,0.0,11.79,47554,47553,random
18:29:21.912,0,random,searching,4.23,0.0,11.16,47553,47253,random
18:29:21.948,0,random,searching,4.79,0.0,9.77,47253,46953,random
18:29:21.982,0,random,searching,4.64,0.0,8.28,46953,46654,random
18:29:22.016,0,random,searching,5.89,0.0,7.45,46654,46355,random
18:29:22.083,0,random,searching,8.04,0.0,5.36,46355,46656,random
18:29:22.232,0,random,searching,8.97,0.0,8.21,46656,46657,random
18:29:22.266,0,random,searching,10.14,0.0,7.27,46657,46357,random
18:29:22.301,0,random,searching,10.01,0.0,5.78,46357,46656,random
18:29:22.449,0,random,searching,8.09,0.0,8.08,46656,46357,random
18:29:22.517,0,random,searching,10.15,0.0,5.9,46357,46658,random
18:29:22.551,0,random,searching,11.11,0.0,7.05,46658,46959,random
18:29:22.711,0,random,searching,13.2,0.0,9.2,46959,46958,random
18:29:22.749,0,random,searching,11.75,0.0,8.8,46958,46959,random
18:29:22.782,0,random,searching,13.24,0.0,8.64,46959,46958,random
18:29:22.817,0,random,searching,11.75,0.0,8.68,46958,46659,random
18:29:22.850,0,random,searching,12.63,0.0,7.47,46659,0,random
18:29:23.000,0,random,searching,12.07,0.0,5.83,46359,46059,random
18:29:23.104,0,random,searching,12.8,0.0,4.52,46059,46360,random
18:29:23.139,0,random,searching,13.76,0.0,5.67,46360,46060,random
18:29:23.173,0,random,searching,14.18,0.0,4.23,46060,45761,random
18:29:23.208,0,random,searching,15.39,0.0,3.34,45761,45760,random
18:29:23.243,0,random,searching,13.89,0.0,3.34,45760,45759,random
18:29:23.360,0,random,searching,12.39,0.0,3.34,45759,46058,random
18:29:23.395,0,random,searching,11.48,0.0,4.54,46058,46057,random
18:29:23.429,0,random,searching,9.99,0.0,4.69,46057,46358,random
18:29:23.464,0,random,searching,11.07,0.0,5.73,46358,46659,random
18:29:23.533,0,random,searching,13.2,0.0,7.84,46659,46658,random
18:29:23.566,0,random,searching,11.75,0.0,7.46,46658,46358,random
18:29:23.600,0,random,searching,11.37,0.0,6.01,46358,46357,random
18:29:23.634,0,random,searching,9.87,0.0,6.02,46357,46657,random
